source,review_id,source_object_id,author,review_text,rating,review_date,url,text_cleaned,rating_normalized,language,is_duplicate,quality_status
yandex,rev_001,osk_museum_001,Алия,"Музей өте қызықты, экспозициялар жақсы ұйымдастырылған. Балаларға да ұнады.",5.0,2026-05-10,https://example.org/reviews/rev_001,"Музей өте қызықты, экспозициялар жақсы ұйымдастырылған. Балаларға да ұнады.",5.0,kk,False,valid
yandex,rev_002,osk_museum_001,Иван,"Хороший музей, но навигация внутри здания могла бы быть понятнее.",4.0,2026-05-11,https://example.org/reviews/rev_002,"Хороший музей, но навигация внутри здания могла бы быть понятнее.",4.0,ru,False,valid
google,rev_003,osk_hotel_001,Сергей,"Отель чистый, персонал вежливый, завтрак хороший. Цена немного высокая.",4.5,2026-05-12,https://example.org/reviews/rev_003,"Отель чистый, персонал вежливый, завтрак хороший. Цена немного высокая.",4.5,ru,False,valid
yandex,rev_004,osk_hotel_001,Мадина,"Бөлмелер таза, қызмет көрсету сапасы жоғары. Орналасуы ыңғайлы.",5.0,2026-05-13,https://example.org/reviews/rev_004,"Бөлмелер таза, қызмет көрсету сапасы жоғары. Орналасуы ыңғайлы.",5.0,kk,False,valid
yandex,rev_005,osk_sight_001,Олег,"Красивое место для прогулки, но вечером не хватало освещения.",3.5,2026-05-14,https://example.org/reviews/rev_005,"Красивое место для прогулки, но вечером не хватало освещения.",3.5,ru,False,valid
google,rev_006,osk_sight_001,Айгерім,"Көрініс жақсы, бірақ ақпараттық тақтайшалар аз.",3.0,2026-05-15,https://example.org/reviews/rev_006,"Көрініс жақсы, бірақ ақпараттық тақтайшалар аз.",3.0,kk,False,valid
csv,rev_007,ast_museum_001,Нұрлан,Кең әрі заманауи музей. Экспозиция ұлттық тарихты жақсы көрсетеді.,5.0,2026-05-16,https://example.org/reviews/rev_007,Кең әрі заманауи музей. Экспозиция ұлттық тарихты жақсы көрсетеді.,5.0,kk,False,valid
csv,rev_008,ast_museum_001,Мария,"Очень большой музей, много залов. Нужно больше времени на осмотр.",4.0,2026-05-17,https://example.org/reviews/rev_008,"Очень большой музей, много залов. Нужно больше времени на осмотр.",4.0,ru,False,valid
csv,rev_009,alm_sight_001,Данияр,"Табиғаты әдемі, бірақ демалыс күндері адам өте көп.",4.0,2026-05-18,https://example.org/reviews/rev_009,"Табиғаты әдемі, бірақ демалыс күндері адам өте көп.",4.0,kk,False,valid
csv,rev_010,alm_sight_001,Анна,"Вид отличный, но очереди и цены на некоторые услуги завышены.",3.0,2026-05-19,https://example.org/reviews/rev_010,"Вид отличный, но очереди и цены на некоторые услуги завышены.",3.0,ru,False,valid
csv,rev_011,alm_sight_001,Duplicate Demo,"Вид отличный, но очереди и цены на некоторые услуги завышены.",3.0,2026-05-19,https://example.org/reviews/rev_011,"Вид отличный, но очереди и цены на некоторые услуги завышены.",3.0,ru,True,rejected
csv,rev_012,osk_sight_001,No Text,,5.0,2026-05-20,https://example.org/reviews/rev_012,,5.0,unknown,False,limited
